vat,rabat,cena_netto,ean,nazwa_towaru,ilosc,kategoria
0,None,7.92,5902741007513,Koz≥ek korzeÒ EKO 100g,None,Zio≥a jednorodne
0,None,2.86,5902741007537,Babka zwyczajna liúÊ EKO 50g,None,Zio≥a jednorodne
0,None,3.08,5902741007544,Rdest ptasi ziele EKO 50g,None,Zio≥a jednorodne
0,None,8.03,5902741007551,PiÍciornik kurze ziele k≥πcze EKO 100g,None,Zio≥a jednorodne
0,None,7.37,5902741007568,ArcydziÍgiel korzeÒ EKO 100g,None,Zio≥a jednorodne
0,None,5.06,5902741007575,Øywokost korzeÒ EKO 100g,None,Zio≥a jednorodne
0,None,5.83,5902741007803,Jemio≥a ziele EKO 200g,None,Zio≥a jednorodne
0,None,7.7,5902741007810,Oman korzeÒ 200g,None,Zio≥a jednorodne
0,None,10.78,5902741007841,Czosnek niedüwiedzi EKO 100g,None,Przyprawy EKO\Jednorodne
0,None,6.38,5902741007858,Skrzyp ziele EKO 100g,None,Zio≥a jednorodne
0,None,7.15,5902741007865,MiÍta liúÊ EKO 100g,None,Zio≥a jednorodne
0,None,11.22,5902741007872,Melisa liúÊ EKO 100g,None,Zio≥a jednorodne
0,None,11.88,5902741007889,Rumianek koszyczek EKO 100g,None,Zio≥a jednorodne
0,None,10.34,5902741009166,Moringa liúÊ EKO 80g,None,Zio≥a jednorodne
